Main.study,Expansion,Site.name,Site.ID,Ind.num.cont,Sample.ID,GridRef,Lat,Lng,X,Y,Grid.10km,Day.col,Mnth.col,Yr.col,10km.1st.rec,site.1st.rec,years.col.10km,years.col.site,Day.photo,Month.photo,Year.photo,Calib.group,Calib.day,Calib.month,Scale_dmg,Dmg,Age,cropped,FW_used,Photo.FW.D.ID,Photo.FW.V.ID,HW_used,Photo.HW.D.ID,Photo.HW.V.ID,Landmarked,Hairy_AC
etcGBS,England,Woodcock Wood,WW,1,PA-E-1-WW-2018-01,SX6610090900,50.70228,-3.8975018,266100,90900,SX69,14,5,2018,1975,2011,44,8,2,5,2019,1,3,5,2,1,3,Y,R,PA_1_WW_01_D_calibrated,PA_1_WW_01_V_calibrated,L,PA_1_WW_01_D_calibrated,PA_1_WW_01_V_calibrated,FW/HW,Med
etcGBS,England,Woodcock Wood,WW,2,PA-E-1-WW-2018-02,SX6610090900,50.70228,-3.8975018,266100,90900,SX69,14,5,2018,1975,2011,44,8,2,5,2019,1,3,5,3,2,5,Y,L,PA_1_WW_02_D_calibrated,PA_1_WW_02_V_calibrated,L,PA_1_WW_02_D_calibrated,PA_1_WW_02_V_calibrated,FW/HW,Light
etcGBS,England,Woodcock Wood,WW,3,PA-E-1-WW-2018-03,SX6610090900,50.70228,-3.8975018,266100,90900,SX69,14,5,2018,1975,2011,44,8,2,5,2019,1 (V=2),3,5,3,1,4,Y,L,PA_1_WW_03_D_calibrated,PA_1_WW_03_V_calibrated,L,PA_1_WW_03_D_calibrated,PA_1_WW_03_V_calibrated,FW/HW,Light
etcGBS,England,Woodcock Wood,WW,4,PA-E-1-WW-2018-04,SX6610090900,50.70228,-3.8975018,266100,90900,SX69,14,5,2018,1975,2011,44,8,2,5,2019,1,3,5,2,1,3,Y,L,PA_1_WW_04_D_calibrated,PA_1_WW_04_V_calibrated,L,PA_1_WW_04_D_calibrated,PA_1_WW_04_V_calibrated,FW/HW,Med
etcGBS,England,Woodcock Wood,WW,5,PA-E-1-WW-2018-05,SX6610090900,50.70228,-3.8975018,266100,90900,SX69,14,5,2018,1975,2011,44,8,2,5,2019,1,3,5,3,1,4,Y,L,PA_1_WW_05_D_calibrated,PA_1_WW_05_V_calibrated,L,PA_1_WW_05_D_calibrated,PA_1_WW_05_V_calibrated,FW/HW,Med
etcGBS,England,Woodcock Wood,WW,6,PA-E-1-WW-2018-06,SX6610090900,50.70228,-3.8975018,266100,90900,SX69,14,5,2018,1975,2011,44,8,2,5,2019,1,3,5,3,1,4,Y,L,PA_1_WW_06_D_calibrated,PA_1_WW_06_V_calibrated,L,PA_1_WW_06_D_calibrated,PA_1_WW_06_V_calibrated,FW/HW,Very
etcGBS,England,Woodcock Wood,WW,7,PA-E-1-WW-2018-07,SX6610090900,50.70228,-3.8975018,266100,90900,SX69,14,5,2018,1975,2011,44,8,2,5,2019,1,3,5,2,1,3,Y,L,PA_1_WW_07_D_calibrated,PA_1_WW_07_V_calibrated,L,PA_1_WW_07_D_calibrated,PA_1_WW_07_V_calibrated,FW/HW,Med
etcGBS,England,Woodcock Wood,WW,8,PA-E-1-WW-2018-08,SX6610090900,50.70228,-3.8975018,266100,90900,SX69,14,5,2018,1975,2011,44,8,2,5,2019,1,3,5,2,1,3,Y,R,PA_1_WW_08_D_calibrated,PA_1_WW_08_V_calibrated,L,PA_1_WW_08_D_calibrated,PA_1_WW_08_V_calibrated,FW/HW,Med
etcGBS,England,Woodcock Wood,WW,9,PA-E-1-WW-2018-09,SX6610090900,50.70228,-3.8975018,266100,90900,SX69,14,5,2018,1975,2011,44,8,2,5,2019,1,3,5,2,1,3,Y,L,PA_1_WW_09_D_calibrated,PA_1_WW_09_V_calibrated,L,PA_1_WW_09_D_calibrated,PA_1_WW_09_V_calibrated,FW/HW,Very
etcGBS,England,Woodcock Wood,WW,10,PA-E-1-WW-2018-10,SX6610090900,50.70228,-3.8975018,266100,90900,SX69,14,5,2018,1975,2011,44,8,2,5,2019,1,3,5,3,2,5,Y,R,PA_1_WW_10_D_calibrated,PA_1_WW_10_V_calibrated,L,PA_1_WW_10_D_calibrated,PA_1_WW_10_V_calibrated,FW/HW,Very
