years.col.10km	dev.tmp	lat	mat.10yr
PA_1_WW_01_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_02_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_03_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_04_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_05_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_06_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_07_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_08_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_09_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_10_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_11_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_12_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_13_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_14_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_15_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_16_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_17_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_18_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_19_D_calibrated	16	15.5191	50.70228	9.58559
PA_1_WW_20_D_calibrated	16	15.5191	50.70228	9.58559
PA_3_MH_01_D_calibrated	18	17.45418	51.820673	10.42412
PA_3_MH_02_D_calibrated	18	17.45418	51.820673	10.42412
PA_3_MH_03_D_calibrated	18	17.45418	51.820673	10.42412
PA_3_MH_04_D_calibrated	18	17.45418	51.820673	10.42412
PA_3_MH_05_D_calibrated	18	17.45418	51.820673	10.42412
PA_3_MH_06_D_calibrated	18	17.45418	51.820673	10.42412
PA_3_MH_07_D_calibrated	18	17.45418	51.820673	10.42412
PA_3_MH_08_D_calibrated	18	17.45418	51.820673	10.42412
PA_3_MH_09_D_calibrated	18	17.45418	51.820673	10.42412
