 ,Label,Area,Mean,StdDev,Min,Max,XM,YM,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
1,C19M10_D_calibrated.png:wing,244703,100.60,44.42,15,248,423.99,685.88,740.59,420.70,135.16,817.33,24617050.00,24617050.00,181,377,137.23,459.78
2,C19M10_D_calibrated.png:cream,38604,180.32,30.00,80,248,418.57,684.46,278.11,176.74,116.56,776.69,6961078.00,6961078.00,186,376,136.57,449.12
3,C19M10_D_calibrated.png:brown,206099,85.67,27.58,15,219,426.12,686.43,688.79,380.98,136.72,817.33,17655972.00,17655972.00,181,377,137.23,459.78
4,C19M11_D_calibrated.png:wing,246009,98.17,38.13,23,248,724.97,688.53,730.33,428.89,135.52,794.23,24149741.00,24149741.00,503,382,137.65,458.24
5,C19M11_D_calibrated.png:cream,28475,178.92,23.63,91,248,732.23,672.26,221.55,163.64,134.26,779.95,5094705.00,5094705.00,508,380,134.74,448.62
6,C19M11_D_calibrated.png:brown,217534,87.60,24.61,23,214,723.03,692.87,693.79,399.22,135.57,794.23,19055036.00,19055036.00,503,382,137.65,458.24
7,C19M12_D_calibrated.png:wing,270839,102.64,44.73,22,246,741.76,684.61,773.62,445.75,140.19,858.06,27799036.00,27799036.00,504,365,137.83,488.42
8,C19M12_D_calibrated.png:cream,46698,184.39,27.12,85,246,725.27,658.49,286.21,207.74,150.15,841.00,8610779.00,8610779.00,522,362,136.40,472.43
9,C19M12_D_calibrated.png:brown,224141,85.61,24.13,22,222,749.16,696.33,717.03,398.01,139.48,858.06,19188257.00,19188257.00,504,365,137.83,488.42
10,C19M13_D_calibrated.png:wing,250316,89.98,44.35,14,248,406.68,672.79,722.43,441.17,130.75,800.62,22522849.00,22522849.00,202,339,133.79,473.88
11,C19M13_D_calibrated.png:cream,39052,173.82,30.90,76,248,396.21,652.52,242.87,204.73,100.41,758.10,6788140.00,6788140.00,200,349,134.14,469.29
12,C19M13_D_calibrated.png:brown,211264,74.48,24.78,14,210,411.19,681.52,681.70,394.59,131.70,800.62,15734709.00,15734709.00,202,339,133.79,473.88
13,C19M14_D_calibrated.png:wing,207789,90.94,45.02,14,233,783.63,705.43,674.21,392.41,129.23,741.21,18897128.00,18897128.00,613,398,129.86,424.59
14,C19M14_D_calibrated.png:cream,37567,169.46,31.83,54,233,779.61,703.18,278.96,171.46,136.54,729.05,6366188.00,6366188.00,562,455,135.50,410.98
15,C19M14_D_calibrated.png:brown,170222,73.62,24.28,14,188,785.69,706.57,613.99,352.99,128.24,741.21,12530940.00,12530940.00,613,398,129.86,424.59
16,C19M15_D_calibrated.png:wing,210091,111.01,38.34,21,247,470.08,695.89,688.33,388.62,132.40,758.17,23321253.00,23321253.00,276,405,132.27,419.63
17,C19M15_D_calibrated.png:cream,23888,185.55,20.94,118,247,463.20,668.08,211.90,143.54,102.08,734.86,4432350.00,4432350.00,277,406,133.73,409.92
18,C19M15_D_calibrated.png:brown,186203,101.44,28.25,21,216,471.70,702.41,658.75,359.89,133.68,758.17,18888903.00,18888903.00,276,405,132.27,419.63
19,C19M16_D_calibrated.png:wing,211351,77.85,35.42,14,232,479.82,679.06,676.78,397.62,125.85,749.36,16452704.00,16452704.00,302,349,128.06,435.12
20,C19M16_D_calibrated.png:cream,22589,158.85,25.67,83,232,479.76,658.91,184.94,155.51,112.76,732.80,3588340.00,3588340.00,297,362,129.18,429.61
21,C19M16_D_calibrated.png:brown,188762,68.15,21.13,14,190,479.81,684.64,649.07,370.28,126.08,749.36,12864364.00,12864364.00,302,349,128.06,435.12
22,C19M17_D_calibrated.png:wing,275841,71.09,41.00,13,240,408.07,681.98,772.15,454.85,137.37,842.23,19608198.00,19608198.00,156,351,135.72,498.28
23,C19M17_D_calibrated.png:cream,31297,165.22,27.03,66,240,378.66,636.56,219.22,181.78,138.64,820.73,5170857.00,5170857.00,162,350,133.03,487.53
24,C19M17_D_calibrated.png:brown,244544,59.04,22.89,13,197,418.62,698.28,739.25,421.19,137.45,842.23,14437341.00,14437341.00,156,351,135.72,498.28
25,C19M18_D_calibrated.png:wing,239397,61.34,31.52,14,207,480.54,661.79,720.47,423.07,124.98,792.44,14684959.00,14684959.00,296,313,128.29,456.16
26,C19M18_D_calibrated.png:cream,15497,154.39,25.10,75,207,441.68,594.94,168.66,116.99,95.70,789.63,2392581.00,2392581.00,297,314,128.26,447.25
27,C19M18_D_calibrated.png:brown,223900,54.90,19.43,14,205,488.04,674.76,700.10,407.20,125.56,792.44,12292378.00,12292378.00,296,313,128.29,456.16
28,C19M19_D_calibrated.png:wing,238773,67.72,31.45,14,245,416.05,668.10,730.84,415.98,132.24,819.59,16169093.00,16169093.00,190,337,132.53,445.23
29,C19M19_D_calibrated.png:cream,12610,158.37,22.49,69,245,407.25,630.36,180.39,89.00,127.55,813.77,1997030.00,1997030.00,192,341,132.81,421.58
30,C19M19_D_calibrated.png:brown,226163,62.66,23.08,14,204,417.33,673.45,710.12,405.51,132.43,819.59,14172063.00,14172063.00,190,337,132.53,445.23
31,C19M20_D_calibrated.png:wing,256988,69.22,34.41,12,248,449.12,663.97,745.09,439.15,129.70,810.38,17788472.00,17788472.00,227,325,132.55,473.01
32,C19M20_D_calibrated.png:cream,17753,163.27,24.85,83,248,423.59,588.19,197.09,114.69,120.40,798.38,2898450.00,2898450.00,241,318,129.05,464.28
33,C19M20_D_calibrated.png:brown,239235,62.24,22.83,12,202,454.09,678.71,719.59,423.30,130.40,810.38,14890022.00,14890022.00,227,325,132.55,473.01
34,C19M21_D_calibrated.png:wing,235742,101.35,31.41,26,232,752.98,684.74,716.57,418.88,135.06,783.88,23891728.00,23891728.00,515,385,138.05,447.55
35,C19M21_D_calibrated.png:cream,18771,178.14,19.79,111,232,732.11,657.68,177.09,134.96,112.34,770.08,3343892.00,3343892.00,516,391,138.53,440.21
