 ,Label,Area,Mean,StdDev,Min,Max,XM,YM,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
1,C19M10_D_calibrated.png:wing,244776,104.82,44.65,17,250,424.09,686.06,740.70,420.76,135.15,817.38,25657401,25657401,181,377,137.33,459.78
2,C19M10_D_calibrated.png:cream,41409,181.99,30.03,85,250,421.76,687.75,287.15,183.61,117.40,776.69,7536179,7536179,186,376,136.57,450.83
3,C19M10_D_calibrated.png:brown,244776,74.03,41.76,0,222,425.06,685.36,740.70,420.76,135.15,817.38,18121222,18121222,181,377,137.33,459.78
4,C19M11_D_calibrated.png:wing,246030,102.71,38.30,25,250,724.97,688.81,730.34,428.92,135.52,794.23,25269712,25269712,503,382,137.65,458.27
5,C19M11_D_calibrated.png:cream,30002,181.63,23.72,99,250,734.13,675.70,229.12,166.73,133.63,779.95,5449157,5449157,508,380,134.74,448.59
6,C19M11_D_calibrated.png:brown,246030,80.56,37.87,0,219,722.45,692.41,730.34,428.92,135.52,794.23,19820555,19820555,503,382,137.65,458.27
7,C19M12_D_calibrated.png:wing,270796,107.31,45.01,24,249,741.91,685.01,773.41,445.80,140.20,858.06,29057998,29057998,504,365,137.83,488.46
8,C19M12_D_calibrated.png:cream,47534,188.50,26.74,89,249,725.93,659.72,288.31,209.92,149.92,840.31,8960355,8960355,522,362,136.45,472.43
9,C19M12_D_calibrated.png:brown,270796,74.22,40.86,0,225,749.03,696.29,773.41,445.80,140.20,858.06,20097643,20097643,504,365,137.83,488.46
10,C19M13_D_calibrated.png:wing,250315,94.13,44.82,16,250,406.75,673.08,722.45,441.15,130.75,800.62,23562355,23562355,202,339,133.79,473.98
11,C19M13_D_calibrated.png:cream,40598,176.68,31.62,62,250,398.25,655.64,247.95,208.47,102.46,758.10,7172816,7172816,200,349,134.14,464.73
12,C19M13_D_calibrated.png:brown,250315,65.48,36.85,0,216,410.47,680.71,722.45,441.15,130.75,800.62,16389539,16389539,202,339,133.79,473.98
13,C19M14_D_calibrated.png:wing,207648,95.31,45.55,15,238,783.35,705.53,674.35,392.06,129.25,741.21,19791185,19791185,613,398,129.86,424.69
14,C19M14_D_calibrated.png:cream,40825,170.06,34.67,51,238,781.12,705.85,294.09,176.75,137.32,729.64,6942778,6942778,638,387,127.48,411.52
15,C19M14_D_calibrated.png:brown,207648,61.88,37.53,0,192,784.55,705.35,674.35,392.06,129.25,741.21,12848407,12848407,613,398,129.86,424.69
16,C19M15_D_calibrated.png:wing,210185,115.67,38.49,23,250,470.29,696.14,688.54,388.67,132.40,758.17,24312581,24312581,276,405,132.27,420.28
17,C19M15_D_calibrated.png:cream,26218,187.08,21.40,106,250,465.27,672.92,221.67,150.59,104.32,734.86,4904846,4904846,277,406,133.73,412.79
18,C19M15_D_calibrated.png:brown,210185,92.34,43.74,0,220,471.56,702.01,688.54,388.67,132.40,758.17,19407735,19407735,276,405,132.27,420.28
19,C19M16_D_calibrated.png:wing,211289,82.03,36.86,17,234,479.93,679.10,676.77,397.51,125.85,749.36,17331537,17331537,302,349,128.06,434.81
20,C19M16_D_calibrated.png:cream,23167,165.75,26.38,88,234,480.19,659.26,188.05,156.86,113.19,732.80,3840021,3840021,297,362,129.18,429.15
21,C19M16_D_calibrated.png:brown,211289,63.85,30.35,0,193,479.86,684.74,676.77,397.51,125.85,749.36,13491516,13491516,302,349,128.06,434.81
22,C19M17_D_calibrated.png:wing,275632,74.97,42.54,15,244,408.30,682.38,771.81,454.71,137.36,842.23,20663170,20663170,156,351,135.72,498.33
23,C19M17_D_calibrated.png:cream,31727,172.27,27.67,70,244,379.67,637.91,221.18,182.64,137.59,820.73,5465753,5465753,162,350,133.03,486.78
24,C19M17_D_calibrated.png:brown,275632,55.14,29.75,0,201,418.60,698.38,771.81,454.71,137.36,842.23,15197417,15197417,156,351,135.72,498.33
25,C19M18_D_calibrated.png:wing,239343,65.11,33.54,16,210,480.76,661.84,720.47,422.97,124.98,792.44,15584467,15584467,296,313,128.29,456.16
26,C19M18_D_calibrated.png:cream,16416,162.55,27.49,68,210,443.28,596.91,172.69,121.04,97.30,788.21,2668448,2668448,293,319,128.72,447.25
27,C19M18_D_calibrated.png:brown,239343,53.96,24.25,0,208,488.50,675.25,720.47,422.97,124.98,792.44,12916019,12916019,296,313,128.29,456.16
28,C19M19_D_calibrated.png:wing,238711,71.55,32.90,16,249,416.01,668.15,730.76,415.92,132.23,819.53,17079300,17079300,190,337,132.63,445.24
29,C19M19_D_calibrated.png:cream,12970,166.37,23.61,78,249,407.15,631.57,182.43,90.52,127.03,814.45,2157878,2157878,191,341,132.86,421.28
30,C19M19_D_calibrated.png:brown,238711,62.51,27.57,0,209,417.30,673.44,730.76,415.92,132.23,819.53,14921422,14921422,190,337,132.63,445.24
31,C19M20_D_calibrated.png:wing,256930,73.21,35.69,14,250,449.28,664.02,744.90,439.16,129.69,810.38,18810817,18810817,227,325,132.55,472.91
32,C19M20_D_calibrated.png:cream,18445,169.56,25.58,87,250,426.20,590.22,202.31,116.09,121.29,798.38,3127443,3127443,241,318,129.05,462.59
33,C19M20_D_calibrated.png:brown,256930,61.04,28.23,0,206,453.88,678.73,744.90,439.16,129.69,810.38,15683374,15683374,227,325,132.55,472.91
34,C19M21_D_calibrated.png:wing,235740,106.19,31.52,29,237,753.14,684.72,716.69,418.81,135.05,783.88,25033628,25033628,515,385,138.05,447.13
35,C19M21_D_calibrated.png:cream,20069,180.59,20.03,105,237,734.02,661.64,182.79,139.79,113.50,766.03,3624164,3624164,517,396,138.76,440.38
36,C19M21_D_calibrated.png:brown,235740,90.82,34.81,0,215,756.37,688.63,716.69,418.81,135.05,783.88,21409464,21409464,515,385,138.05,447.13
37,C19M22_D_calibrated.png:wing,211865,81.74,36.49,22,223,463.09,693.80,691.27,390.23,132.26,753.82,17317724,17317724,247,396,134.36,423.40
38,C19M22_D_calibrated.png:cream,20257,170.31,27.62,85,223,453.63,664.28,193.04,133.61,111.09,744.62,3449935,3449935,245,404,134.40,416.82
39,C19M22_D_calibrated.png:brown,211865,65.46,29.71,0,203,465.44,701.14,691.27,390.23,132.26,753.82,13867789,13867789,247,396,134.36,423.40
40,C19M23_D_calibrated.png:wing,230557,80.93,34.34,20,247,442.34,654.38,710.53,413.15,129.62,785.29,18659678,18659678,245,323,130.40,449.42
41,C19M23_D_calibrated.png:cream,18636,169.84,26.17,87,247,421.61,611.86,178.03,133.28,121.77,780.52,3165230,3165230,255,319,129.65,439.12
42,C19M23_D_calibrated.png:brown,230557,67.20,28.74,0,203,446.58,663.06,710.53,413.15,129.62,785.29,15494448.00,15494448.00,245,323,130.40,449.42
43,C19M25_D_calibrated.png:wing,221584,92.45,35.75,19,249,458.60,671.77,700.65,402.67,126.70,767.34,20486276,20486276,292,345,127.96,430.23
44,C19M25_D_calibrated.png:cream,17114,183.28,22.75,107,249,433.47,626.17,166.43,130.93,120.81,750.43,3136682,3136682,295,349,127.42,423.01
45,C19M25_D_calibrated.png:brown,221584,78.30,32.56,0,221,463.15,680.01,700.65,402.67,126.70,767.34,17349594,17349594,292,345,127.96,430.23
46,C19M27_D_calibrated.png:wing,226162,126.88,39.35,25,251,436.46,709.46,716.29,402.02,133.60,775.50,28696313,28696313,243,401,132.91,441.97
47,C19M27_D_calibrated.png:cream,41271,186.02,23.55,98,251,433.84,692.29,278.26,188.85,126.16,735.04,7677268,7677268,260,391,131.91,431.48
48,C19M27_D_calibrated.png:brown,226162,92.94,50.94,0,218,437.41,715.74,716.29,402.02,133.60,775.50,21019045,21019045,243,401,132.91,441.97
49,C19M28_D_calibrated.png:wing,208565,106.17,31.63,18,235,430.69,704.08,683.52,388.51,135.19,751.66,22143187,22143187,224,412,134.73,419.74
50,C19M28_D_calibrated.png:cream,17738,182.03,21.95,102,235,428.86,673.37,175.99,128.33,133.09,674.38,3228882,3228882,225,413,132.78,405.68
51,C19M28_D_calibrated.png:brown,208565,90.69,34.48,0,206,431.00,709.32,683.52,388.51,135.19,751.66,18914305,18914305,224,412,134.73,419.74
