 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
1,C19M10_D_calibrated.png:edge3rd,84051,102.76,38.35,20,213,493.54,216.84,87.55,525.07,8637270.00,8637270.00,317.34,724.79,82.27,234.79
2,C19M10_D_calibrated.png:mid3rd,117446,106.52,36.96,35,233,570.21,262.25,92.78,571.44,12510613.00,12510613.00,421.32,188.16,110.53,235.00
3,C19M10_D_calibrated.png:bot3rd,67247,121.50,42.91,32,248,393.48,217.60,92.36,451.04,8170789.00,8170789.00,622.00,276.67,104.45,234.62
4,C19M10_D_calibrated.png:whole_wing,268231,109.10,39.64,20,248,665.56,513.14,165.24,703.43,29262905.00,29262905.00,153.21,490.37,179.63,538.52
5,C19M11_D_calibrated.png:edge3rd,88452,91.98,31.33,22,222,524.24,214.83,88.94,560.38,8135589.00,8135589.00,469.01,756.34,89.98,228.95
6,C19M11_D_calibrated.png:mid3rd,114260,100.27,29.76,35,226,566.10,256.99,90.41,556.95,11457101.00,11457101.00,474.00,199.02,90.65,229.00
7,C19M11_D_calibrated.png:bot3rd,67344,110.96,40.42,20,225,389.04,220.40,92.28,429.42,7472293.00,7472293.00,704.43,264.87,90.21,228.05
8,C19M11_D_calibrated.png:whole_wing,269500,100.23,34.00,20,226,654.42,524.34,176.08,685.01,27012248.00,27012248.00,246.05,470.49,179.75,546.92
9,C19M12_D_calibrated.png:edge3rd,100679,116.17,39.19,23,210,547.03,234.34,90.01,585.28,11696098.00,11696098.00,427.35,193.57,93.36,251.44
10,C19M12_D_calibrated.png:mid3rd,129459,105.50,28.62,41,221,583.51,282.48,89.92,587.03,13657765.00,13657765.00,467.55,195.06,90.46,252.00
11,C19M12_D_calibrated.png:bot3rd,77628,119.68,37.13,27,229,390.25,253.27,91.04,437.80,9290188.00,9290188.00,714.00,698.82,89.92,251.76
12,C19M12_D_calibrated.png:whole_wing,306748,112.60,35.13,23,229,724.90,538.79,179.92,753.20,34539634.00,34539634.00,212.56,453.68,0.07,572.22
13,C19M13_D_calibrated.png:edge3rd,90210,88.84,34.85,20,214,520.98,220.47,93.20,558.25,8014532.00,8014532.00,453.89,793.79,87.57,229.52
14,C19M13_D_calibrated.png:mid3rd,120358,98.44,32.52,27,219,598.18,256.18,87.51,602.01,11848411.00,11848411.00,478.05,787.38,67.65,230.00
15,C19M13_D_calibrated.png:bot3rd,66122,104.61,38.55,26,235,397.00,212.06,87.27,463.79,6917330.00,6917330.00,706.00,685.00,77.31,229.39
16,C19M13_D_calibrated.png:whole_wing,275687,96.79,35.32,20,235,658.02,533.44,19.01,686.93,26684544.00,26684544.00,248.48,479.99,0.42,550.09
17,C19M15_D_calibrated.png:edge3rd,70331,120.41,30.08,42,213,447.22,200.23,88.13,503.93,8468495.00,8468495.00,389.52,733.12,88.47,209.90
18,C19M15_D_calibrated.png:mid3rd,97694,123.77,34.11,49,240,531.94,233.84,92.92,535.33,12091969.00,12091969.00,407.98,212.48,112.39,210.00
19,C19M15_D_calibrated.png:bot3rd,53794,124.36,44.76,34,249,340.57,201.11,88.18,403.15,6689940.00,6689940.00,611.00,304.29,90.13,209.74
20,C19M15_D_calibrated.png:whole_wing,220927,122.86,35.89,34,249,595.57,472.31,167.07,627.66,27143889.00,27143889.00,193.10,531.89,0.47,483.91
21,C19M16_D_calibrated.png:edge3rd,71740,87.15,33.57,22,216,456.97,199.89,86.72,481.58,6252295.00,6252295.00,337.23,698.31,86.59,212.99
22,C19M16_D_calibrated.png:mid3rd,97637,92.35,32.51,34,205,526.18,236.26,93.20,531.37,9016630.00,9016630.00,395.48,219.97,113.57,213.00
23,C19M16_D_calibrated.png:bot3rd,60157,113.63,46.13,33,248,375.44,204.01,93.13,428.18,6835530.00,6835530.00,608.04,293.83,102.70,212.72
24,C19M16_D_calibrated.png:whole_wing,229946,96.33,38.38,22,248,620.86,471.57,162.81,638.73,22149952.00,22149952.00,182.01,502.23,0.39,493.18
25,C19M17_D_calibrated.png:edge3rd,92201,78.82,37.40,18,201,525.24,223.50,89.81,572.26,7267538.00,7267538.00,378.42,772.63,89.74,242.37
26,C19M17_D_calibrated.png:mid3rd,125851,93.38,36.71,35,235,588.15,272.44,89.82,573.15,11751535.00,11751535.00,383.83,200.22,90.88,243.00
27,C19M17_D_calibrated.png:bot3rd,76249,113.79,43.39,32,235,402.70,241.08,91.27,450.53,8676138.00,8676138.00,624.00,264.41,90.53,242.99
28,C19M17_D_calibrated.png:whole_wing,294301,94.11,40.94,18,235,696.86,537.72,177.24,728.37,27695211.00,27695211.00,138.63,453.11,0.38,561.09
29,C19M18_D_calibrated.png:edge3rd,80842,64.70,31.78,18,202,492.51,208.99,87.90,540.10,5230579.00,5230579.00,434.03,728.85,88.40,226.97
30,C19M18_D_calibrated.png:mid3rd,116001,71.30,26.25,25,192,583.41,253.16,92.14,568.85,8270832.00,8270832.00,487.03,191.85,112.10,227.00
31,C19M18_D_calibrated.png:bot3rd,60599,90.53,40.52,25,212,378.21,204.01,89.70,455.40,5486046.00,5486046.00,702.00,266.15,98.13,226.65
32,C19M18_D_calibrated.png:whole_wing,256467,73.75,33.29,18,212,626.74,521.02,164.24,678.64,18915170.00,18915170.00,250.03,484.75,179.56,540.77
33,C19M20_D_calibrated.png:edge3rd,89794,71.93,28.93,19,206,528.94,216.15,89.41,563.21,6458954.00,6458954.00,399.52,207.34,90.35,232.56
34,C19M20_D_calibrated.png:mid3rd,119114,80.09,28.84,33,217,581.52,260.80,89.39,568.91,9540218.00,9540218.00,403.00,209.43,91.65,233.00
35,C19M20_D_calibrated.png:bot3rd,57774,98.22,37.49,25,204,365.43,201.30,80.83,436.10,5674765.00,5674765.00,635.00,271.83,90.21,232.55
36,C19M20_D_calibrated.png:whole_wing,265687,81.28,32.42,19,217,633.75,533.78,9.53,696.11,21595277.00,21595277.00,171.44,470.45,179.95,556.16
37,C19M21_D_calibrated.png:edge3rd,86748,105.02,27.35,33,197,507.95,217.45,87.53,528.26,9110159.00,9110159.00,335.44,726.73,83.31,227.81
