 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
1,C19M10_V_calibrated.png:edge3rd,80580,119.86,23.84,41,194,486.19,211.02,91.49,520.43,9657931.00,9657931.00,421.31,235.83,95.16,230.49
2,C19M10_V_calibrated.png:mid3rd,110076,142.99,23.95,44,215,550.79,254.46,86.57,552.39,15739786.00,15739786.00,485.57,767.54,67.27,231.00
3,C19M10_V_calibrated.png:bot3rd,66318,125.84,28.44,34,206,383.45,220.21,88.89,421.73,8345504.00,8345504.00,706.25,255.62,91.06,230.78
4,C19M10_V_calibrated.png:whole_wing,256075,131.27,27.20,34,215,655.33,497.53,11.60,690.28,33614879.00,33614879.00,238.51,450.57,0.36,526.74
5,C19M11_V_calibrated.png:edge3rd,88011,110.50,24.41,41,205,518.71,216.03,90.86,553.08,9725181.00,9725181.00,372.75,763.28,88.21,229.29
6,C19M11_V_calibrated.png:mid3rd,111776,138.16,25.57,42,227,556.02,255.96,89.41,553.07,15442426.00,15442426.00,401.96,206.19,90.20,230.00
7,C19M11_V_calibrated.png:bot3rd,71288,131.52,29.97,34,231,398.78,227.61,91.34,434.38,9375461.00,9375461.00,618.00,704.91,89.94,229.01
8,C19M11_V_calibrated.png:whole_wing,270529,127.42,29.07,34,231,666.16,517.07,179.12,686.30,34470642.00,34470642.00,160.71,500.01,0.16,545.25
9,C19M12_V_calibrated.png:edge3rd,103159,133.37,26.66,46,204,542.52,242.10,89.84,587.68,13758363.00,13758363.00,364.56,779.83,88.90,256.80
10,C19M12_V_calibrated.png:mid3rd,128266,147.15,25.47,35,229,571.84,285.59,88.00,582.42,18874537.00,18874537.00,387.87,193.39,90.30,257.00
11,C19M12_V_calibrated.png:bot3rd,73338,141.16,25.75,40,220,383.24,243.65,87.39,432.83,10352436.00,10352436.00,643.27,700.41,89.12,256.51
12,C19M12_V_calibrated.png:whole_wing,304184,141.05,26.63,35,229,729.51,530.90,3.69,769.34,42903997.00,42903997.00,130.20,521.18,0.48,571.44
13,C19M13_V_calibrated.png:edge3rd,84408,115.48,21.62,41,205,505.00,212.82,92.55,542.53,9747834.00,9747834.00,345.48,241.19,94.33,228.03
14,C19M13_V_calibrated.png:mid3rd,117127,137.22,26.03,43,224,595.22,250.55,86.66,581.90,16071761.00,16071761.00,388.71,782.30,67.01,229.00
