Id	Site	Grid.10km	Expansion	ID	Centroid Size	Log Centroid Size
PA_1_WW_01_D_calibrated	WW	SX69	England	PA_1_WW_01_D_calibrated	2.4152289799061646	0.8817940983059465
PA_1_WW_02_D_calibrated	WW	SX69	England	PA_1_WW_02_D_calibrated	2.375819965679519	0.8653426266091494
PA_1_WW_03_D_calibrated	WW	SX69	England	PA_1_WW_03_D_calibrated	2.2323482978629094	0.8030540797745498
PA_1_WW_04_D_calibrated	WW	SX69	England	PA_1_WW_04_D_calibrated	2.4203503579352192	0.8839123056958493
PA_1_WW_05_D_calibrated	WW	SX69	England	PA_1_WW_05_D_calibrated	2.539367816762106	0.9319151590133894
PA_1_WW_06_D_calibrated	WW	SX69	England	PA_1_WW_06_D_calibrated	2.322300138812503	0.8425581336703556
PA_1_WW_07_D_calibrated	WW	SX69	England	PA_1_WW_07_D_calibrated	2.441964680312321	0.8928029121573486
PA_1_WW_08_D_calibrated	WW	SX69	England	PA_1_WW_08_D_calibrated	2.3848806167380494	0.8691490672124357
PA_1_WW_09_D_calibrated	WW	SX69	England	PA_1_WW_09_D_calibrated	2.38533556080541	0.8693398107979704
PA_1_WW_10_D_calibrated	WW	SX69	England	PA_1_WW_10_D_calibrated	2.3845215048426684	0.8689984773116871
PA_1_WW_11_D_calibrated	WW	SX69	England	PA_1_WW_11_D_calibrated	2.4248434724475367	0.8857669748618558
PA_1_WW_12_D_calibrated	WW	SX69	England	PA_1_WW_12_D_calibrated	2.4959081084218058	0.9146526342933372
PA_1_WW_13_D_calibrated	WW	SX69	England	PA_1_WW_13_D_calibrated	2.4371044141709293	0.890810619096972
PA_1_WW_14_D_calibrated	WW	SX69	England	PA_1_WW_14_D_calibrated	2.473458032051773	0.9056171845118779
PA_1_WW_15_D_calibrated	WW	SX69	England	PA_1_WW_15_D_calibrated	2.417159517014311	0.8825930974808188
PA_1_WW_16_D_calibrated	WW	SX69	England	PA_1_WW_16_D_calibrated	2.3868629531024306	0.8699799318426938
PA_1_WW_17_D_calibrated	WW	SX69	England	PA_1_WW_17_D_calibrated	2.361077515914533	0.8591180893791348
PA_1_WW_18_D_calibrated	WW	SX69	England	PA_1_WW_18_D_calibrated	2.361544820283355	0.8593159897561203
PA_1_WW_19_D_calibrated	WW	SX69	England	PA_1_WW_19_D_calibrated	2.4594173046432304	0.8999244538554014
PA_1_WW_20_D_calibrated	WW	SX69	England	PA_1_WW_20_D_calibrated	2.3677547317086227	0.8619421355208194
PA_3_MH_01_D_calibrated	MH	TL11	England	PA_3_MH_01_D_calibrated	2.509025262790598	0.9198943362019077
PA_3_MH_02_D_calibrated	MH	TL11	England	PA_3_MH_02_D_calibrated	2.4551165264766097	0.8981742250799808
PA_3_MH_03_D_calibrated	MH	TL11	England	PA_3_MH_03_D_calibrated	2.289345038010716	0.8282657670552942
PA_3_MH_04_D_calibrated	MH	TL11	England	PA_3_MH_04_D_calibrated	2.5613562629382223	0.9405369084124279
PA_3_MH_05_D_calibrated	MH	TL11	England	PA_3_MH_05_D_calibrated	2.2722143176488814	0.820754826361207
PA_3_MH_06_D_calibrated	MH	TL11	England	PA_3_MH_06_D_calibrated	2.477452254782839	0.9072307155056675
PA_3_MH_07_D_calibrated	MH	TL11	England	PA_3_MH_07_D_calibrated	2.478165931380936	0.9075187427814667
PA_3_MH_08_D_calibrated	MH	TL11	England	PA_3_MH_08_D_calibrated	2.324616476418361	0.8435550690533201
PA_3_MH_09_D_calibrated	MH	TL11	England	PA_3_MH_09_D_calibrated	2.4298412857545126	0.8878259407150562
PA_3_MH_10_D_calibrated	MH	TL11	England	PA_3_MH_10_D_calibrated	2.578902024180335	0.9473637363289265
PA_3_MH_11_D_calibrated	MH	TL11	England	PA_3_MH_11_D_calibrated	2.5149219262207154	0.9222417598176502
PA_3_MH_12_D_calibrated	MH	TL11	England	PA_3_MH_12_D_calibrated	2.546597993811688	0.9347583483659854
PA_3_MH_13_D_calibrated	MH	TL11	England	PA_3_MH_13_D_calibrated	2.7172369737250692	0.9996155455312101
PA_3_MH_14_D_calibrated	MH	TL11	England	PA_3_MH_14_D_calibrated	2.6521042634710708	0.9753533865851408
PA_3_MH_15_D_calibrated	MH	TL11	England	PA_3_MH_15_D_calibrated	2.5369885714718095	0.9309777758658906
PA_3_MH_16_D_calibrated	MH	TL11	England	PA_3_MH_16_D_calibrated	2.4166555376815997	0.8823845750906011
PA_3_MH_18_D_calibrated	MH	TL11	England	PA_3_MH_18_D_calibrated	2.591582345578524	0.9522686333998046
PA_4_RCHP_01_D_calibrated	RHCP	SO81	England	PA_4_RCHP_01_D_calibrated	2.676486952447688	0.9845050959833316
PA_4_RCHP_02_D_calibrated	RHCP	SO81	England	PA_4_RCHP_02_D_calibrated	2.5455171529239395	0.9343338328659095
PA_4_RCHP_03_D_calibrated	RHCP	SO81	England	PA_4_RCHP_03_D_calibrated	2.6571588893494735	0.9772574652717859
PA_4_RCHP_04_D_calibrated	RHCP	SO81	England	PA_4_RCHP_04_D_calibrated	2.4442841637102206	0.8937523044810566
PA_4_RCHP_05_D_calibrated	RHCP	SO81	England	PA_4_RCHP_05_D_calibrated	2.4505124512561074	0.8962971664629454
PA_4_RCHP_06_D_calibrated	RHCP	SO81	England	PA_4_RCHP_06_D_calibrated	2.390554480550754	0.8715253392659685
PA_4_RCHP_07_D_calibrated	RHCP	SO81	England	PA_4_RCHP_07_D_calibrated	2.6034841620708695	0.9568506102801967
PA_4_RCHP_08_D_calibrated	RHCP	SO81	England	PA_4_RCHP_08_D_calibrated	2.524096842355881	0.9258833125466671
PA_4_RCHP_09_D_calibrated	RHCP	SO81	England	PA_4_RCHP_09_D_calibrated	2.4846846654551276	0.910145756307633
PA_4_RCHP_10_D_calibrated	RHCP	SO81	England	PA_4_RCHP_10_D_calibrated	2.396630942331905	0.87406397711171
PA_4_RCHP_11_D_calibrated	RHCP	SO81	England	PA_4_RCHP_11_D_calibrated	2.3727488529502776	0.8640491366020607
PA_4_RCHP_12_D_calibrated	RHCP	SO81	England	PA_4_RCHP_12_D_calibrated	2.445614058032592	0.8942962398739231
PA_4_RCHP_13_D_calibrated	RHCP	SO81	England	PA_4_RCHP_13_D_calibrated	2.5590310021520986	0.9396286720523315
PA_4_RCHP_14_D_calibrated	RHCP	SO81	England	PA_4_RCHP_14_D_calibrated	2.476100597605725	0.9066849830784831
PA_4_RCHP_15_D_calibrated	RHCP	SO81	England	PA_4_RCHP_15_D_calibrated	2.563082705774449	0.941210715989057
PA_4_RCHP_16_D_calibrated	RHCP	SO81	England	PA_4_RCHP_16_D_calibrated	2.5056335127261584	0.9185416018550724
PA_4_RCHP_17_D_calibrated	RHCP	SO81	England	PA_4_RCHP_17_D_calibrated	2.596352757282113	0.954107674541799
