Id	Site	Grid.10km	Expansion	ID	RegScore1
PA_1_WW_01_D_calibrated	WW	SX69	England	PA_1_WW_01_D_calibrated	-0.019357420794794963
PA_1_WW_02_D_calibrated	WW	SX69	England	PA_1_WW_02_D_calibrated	-0.00782977232669386
PA_1_WW_03_D_calibrated	WW	SX69	England	PA_1_WW_03_D_calibrated	0.008953108131581448
PA_1_WW_04_D_calibrated	WW	SX69	England	PA_1_WW_04_D_calibrated	-0.005112756023292425
PA_1_WW_05_D_calibrated	WW	SX69	England	PA_1_WW_05_D_calibrated	0.019154058698359573
PA_1_WW_06_D_calibrated	WW	SX69	England	PA_1_WW_06_D_calibrated	-0.013625658123361752
PA_1_WW_07_D_calibrated	WW	SX69	England	PA_1_WW_07_D_calibrated	-0.0146846398969696
PA_1_WW_08_D_calibrated	WW	SX69	England	PA_1_WW_08_D_calibrated	-0.004857200816622683
PA_1_WW_09_D_calibrated	WW	SX69	England	PA_1_WW_09_D_calibrated	-0.012021138055161038
PA_1_WW_10_D_calibrated	WW	SX69	England	PA_1_WW_10_D_calibrated	-0.015155261557347574
PA_1_WW_11_D_calibrated	WW	SX69	England	PA_1_WW_11_D_calibrated	-5.94837476206863E-4
PA_1_WW_12_D_calibrated	WW	SX69	England	PA_1_WW_12_D_calibrated	-0.004600696277946979
PA_1_WW_13_D_calibrated	WW	SX69	England	PA_1_WW_13_D_calibrated	0.011322992652299822
PA_1_WW_14_D_calibrated	WW	SX69	England	PA_1_WW_14_D_calibrated	6.869428386772729E-4
PA_1_WW_15_D_calibrated	WW	SX69	England	PA_1_WW_15_D_calibrated	-0.019955614345502394
PA_1_WW_16_D_calibrated	WW	SX69	England	PA_1_WW_16_D_calibrated	-0.011553877477938904
PA_1_WW_17_D_calibrated	WW	SX69	England	PA_1_WW_17_D_calibrated	-0.006238280387212091
PA_1_WW_18_D_calibrated	WW	SX69	England	PA_1_WW_18_D_calibrated	-0.024439898896408983
PA_1_WW_19_D_calibrated	WW	SX69	England	PA_1_WW_19_D_calibrated	-0.025205191789900615
PA_1_WW_20_D_calibrated	WW	SX69	England	PA_1_WW_20_D_calibrated	0.005285076428258194
PA_3_MH_01_D_calibrated	MH	TL11	England	PA_3_MH_01_D_calibrated	-0.013519407782134063
PA_3_MH_02_D_calibrated	MH	TL11	England	PA_3_MH_02_D_calibrated	-0.009576081124589384
PA_3_MH_03_D_calibrated	MH	TL11	England	PA_3_MH_03_D_calibrated	-0.009038371101822797
PA_3_MH_04_D_calibrated	MH	TL11	England	PA_3_MH_04_D_calibrated	-0.002990067357292686
PA_3_MH_05_D_calibrated	MH	TL11	England	PA_3_MH_05_D_calibrated	8.875296787674131E-4
PA_3_MH_06_D_calibrated	MH	TL11	England	PA_3_MH_06_D_calibrated	-0.010309855807005162
PA_3_MH_07_D_calibrated	MH	TL11	England	PA_3_MH_07_D_calibrated	-0.02825550668841491
PA_3_MH_08_D_calibrated	MH	TL11	England	PA_3_MH_08_D_calibrated	-0.005365855789667053
PA_3_MH_09_D_calibrated	MH	TL11	England	PA_3_MH_09_D_calibrated	0.0064962512870641665
PA_3_MH_10_D_calibrated	MH	TL11	England	PA_3_MH_10_D_calibrated	0.0028493908426247085
PA_3_MH_11_D_calibrated	MH	TL11	England	PA_3_MH_11_D_calibrated	-0.016169913589952734
PA_3_MH_12_D_calibrated	MH	TL11	England	PA_3_MH_12_D_calibrated	-0.015613051492054423
PA_3_MH_13_D_calibrated	MH	TL11	England	PA_3_MH_13_D_calibrated	0.005307324895992364
PA_3_MH_14_D_calibrated	MH	TL11	England	PA_3_MH_14_D_calibrated	0.00575476679127975
PA_3_MH_15_D_calibrated	MH	TL11	England	PA_3_MH_15_D_calibrated	0.018774015062376706
PA_3_MH_16_D_calibrated	MH	TL11	England	PA_3_MH_16_D_calibrated	-0.011142498460648943
PA_3_MH_18_D_calibrated	MH	TL11	England	PA_3_MH_18_D_calibrated	-0.00661021819598923
PA_4_RCHP_01_D_calibrated	RHCP	SO81	England	PA_4_RCHP_01_D_calibrated	0.010492587131855418
PA_4_RCHP_02_D_calibrated	RHCP	SO81	England	PA_4_RCHP_02_D_calibrated	0.005832368097894924
PA_4_RCHP_03_D_calibrated	RHCP	SO81	England	PA_4_RCHP_03_D_calibrated	-0.01794094354547232
PA_4_RCHP_04_D_calibrated	RHCP	SO81	England	PA_4_RCHP_04_D_calibrated	-0.011412409922212815
PA_4_RCHP_05_D_calibrated	RHCP	SO81	England	PA_4_RCHP_05_D_calibrated	-0.01929107596193582
PA_4_RCHP_06_D_calibrated	RHCP	SO81	England	PA_4_RCHP_06_D_calibrated	-0.0206813571830082
PA_4_RCHP_07_D_calibrated	RHCP	SO81	England	PA_4_RCHP_07_D_calibrated	-0.011824920997941647
PA_4_RCHP_08_D_calibrated	RHCP	SO81	England	PA_4_RCHP_08_D_calibrated	0.003964192007493201
PA_4_RCHP_09_D_calibrated	RHCP	SO81	England	PA_4_RCHP_09_D_calibrated	-0.010181136261991389
PA_4_RCHP_10_D_calibrated	RHCP	SO81	England	PA_4_RCHP_10_D_calibrated	-0.0032893879878330805
PA_4_RCHP_11_D_calibrated	RHCP	SO81	England	PA_4_RCHP_11_D_calibrated	-0.026979520835024258
PA_4_RCHP_12_D_calibrated	RHCP	SO81	England	PA_4_RCHP_12_D_calibrated	-0.014029137574279286
PA_4_RCHP_13_D_calibrated	RHCP	SO81	England	PA_4_RCHP_13_D_calibrated	-0.019693407596007392
PA_4_RCHP_14_D_calibrated	RHCP	SO81	England	PA_4_RCHP_14_D_calibrated	-0.00931898944207358
PA_4_RCHP_15_D_calibrated	RHCP	SO81	England	PA_4_RCHP_15_D_calibrated	0.0028120391434335295
PA_4_RCHP_16_D_calibrated	RHCP	SO81	England	PA_4_RCHP_16_D_calibrated	-0.009078488125924286
PA_4_RCHP_17_D_calibrated	RHCP	SO81	England	PA_4_RCHP_17_D_calibrated	-0.00738490981849263
PA_4_RCHP_18_D_calibrated	RHCP	SO81	England	PA_4_RCHP_18_D_calibrated	-0.02901893553048067
PA_4_RCHP_19_D_calibrated	RHCP	SO81	England	PA_4_RCHP_19_D_calibrated	0.00885189659134352
PA_4_RCHP_20_D_calibrated	RHCP	SO81	England	PA_4_RCHP_20_D_calibrated	-7.495394471660373E-4
PA_5_Ferm_01_D_calibrated	Ferm	SP98	England	PA_5_Ferm_01_D_calibrated	-0.024311530837980617
