Id	Site	Grid.10km	Expansion	ID	Centroid Size	Log Centroid Size
PA_1_WW_01_D_calibrated	WW	SX69	England	PA_1_WW_01_D_calibrated	2.049145393160236	0.717422824845864
PA_1_WW_02_D_calibrated	WW	SX69	England	PA_1_WW_02_D_calibrated	2.1085087949909482	0.745980965403247
PA_1_WW_03_D_calibrated	WW	SX69	England	PA_1_WW_03_D_calibrated	1.935035512191678	0.6601256788671779
PA_1_WW_04_D_calibrated	WW	SX69	England	PA_1_WW_04_D_calibrated	2.098676940599395	0.7413071178921548
PA_1_WW_05_D_calibrated	WW	SX69	England	PA_1_WW_05_D_calibrated	2.231855377836606	0.8028332475437132
PA_1_WW_06_D_calibrated	WW	SX69	England	PA_1_WW_06_D_calibrated	2.1032421478456023	0.7434800340984684
PA_1_WW_07_D_calibrated	WW	SX69	England	PA_1_WW_07_D_calibrated	2.151567435831249	0.7661966164405698
PA_1_WW_08_D_calibrated	WW	SX69	England	PA_1_WW_08_D_calibrated	2.1196025472015436	0.7512285933726528
PA_1_WW_09_D_calibrated	WW	SX69	England	PA_1_WW_09_D_calibrated	2.196908650354278	0.7870512132727963
PA_1_WW_10_D_calibrated	WW	SX69	England	PA_1_WW_10_D_calibrated	2.120842065651883	0.7518132105997641
PA_1_WW_11_D_calibrated	WW	SX69	England	PA_1_WW_11_D_calibrated	2.1475546411803523	0.7643298186412171
PA_1_WW_12_D_calibrated	WW	SX69	England	PA_1_WW_12_D_calibrated	2.206816300957146	0.7915508890832319
PA_1_WW_13_D_calibrated	WW	SX69	England	PA_1_WW_13_D_calibrated	2.0669552169398613	0.7260766147367504
PA_1_WW_14_D_calibrated	WW	SX69	England	PA_1_WW_14_D_calibrated	2.194223891035569	0.7858284036090303
PA_1_WW_16_D_calibrated	WW	SX69	England	PA_1_WW_16_D_calibrated	2.1347563636319036	0.7583525247740379
PA_1_WW_18_D_calibrated	WW	SX69	England	PA_1_WW_18_D_calibrated	2.120014354657405	0.7514228597258112
PA_1_WW_19_D_calibrated	WW	SX69	England	PA_1_WW_19_D_calibrated	2.182421253834124	0.7804349273632266
PA_1_WW_20_D_calibrated	WW	SX69	England	PA_1_WW_20_D_calibrated	2.1404236218672397	0.7610037635869938
PA_3_MH_01_D_calibrated	MH	TL11	England	PA_3_MH_01_D_calibrated	2.262385382477248	0.8164197356301349
PA_3_MH_02_D_calibrated	MH	TL11	England	PA_3_MH_02_D_calibrated	2.189012209226136	0.7834503960610947
PA_3_MH_03_D_calibrated	MH	TL11	England	PA_3_MH_03_D_calibrated	2.022383016992892	0.7042765274830518
PA_3_MH_04_D_calibrated	MH	TL11	England	PA_3_MH_04_D_calibrated	2.213976763484124	0.7947903389667462
PA_3_MH_05_D_calibrated	MH	TL11	England	PA_3_MH_05_D_calibrated	2.0266113361250913	0.7063651056832131
PA_3_MH_06_D_calibrated	MH	TL11	England	PA_3_MH_06_D_calibrated	2.2201105387684064	0.7975569868826167
PA_3_MH_08_D_calibrated	MH	TL11	England	PA_3_MH_08_D_calibrated	2.120914610895541	0.7518474158827149
PA_3_MH_09_D_calibrated	MH	TL11	England	PA_3_MH_09_D_calibrated	2.1692436534880497	0.7743785600161207
PA_3_MH_11_D_calibrated	MH	TL11	England	PA_3_MH_11_D_calibrated	2.2771659391333143	0.8229316606376413
PA_3_MH_12_D_calibrated	MH	TL11	England	PA_3_MH_12_D_calibrated	2.3061366359347324	0.8355736724482947
PA_3_MH_13_D_calibrated	MH	TL11	England	PA_3_MH_13_D_calibrated	2.444614166765158	0.8938873054702904
PA_3_MH_14_D_calibrated	MH	TL11	England	PA_3_MH_14_D_calibrated	2.3611753260921864	0.8591595145975379
PA_3_MH_16_D_calibrated	MH	TL11	England	PA_3_MH_16_D_calibrated	2.179135055480082	0.7789280345282711
PA_3_MH_17_D_calibrated	MH	TL11	England	PA_3_MH_17_D_calibrated	2.140653542248806	0.7611111759848431
PA_3_MH_18_D_calibrated	MH	TL11	England	PA_3_MH_18_D_calibrated	2.3664918904003716	0.8614086435255754
PA_4_RCHP_01_D_calibrated	RHCP	SO81	England	PA_4_RCHP_01_D_calibrated	2.39496532993638	0.8733687547398871
PA_4_RCHP_02_D_calibrated	RHCP	SO81	England	PA_4_RCHP_02_D_calibrated	2.2840284569567393	0.8259407509791685
PA_4_RCHP_03_D_calibrated	RHCP	SO81	England	PA_4_RCHP_03_D_calibrated	2.335666720584238	0.848297383804733
PA_4_RCHP_04_D_calibrated	RHCP	SO81	England	PA_4_RCHP_04_D_calibrated	2.1165567971502894	0.749790616031152
PA_4_RCHP_05_D_calibrated	RHCP	SO81	England	PA_4_RCHP_05_D_calibrated	2.2256389849718543	0.8000440586457114
PA_4_RCHP_06_D_calibrated	RHCP	SO81	England	PA_4_RCHP_06_D_calibrated	2.158693406083959	0.7695031340767183
PA_4_RCHP_08_D_calibrated	RHCP	SO81	England	PA_4_RCHP_08_D_calibrated	2.2584163869568994	0.8146638539336958
PA_4_RCHP_09_D_calibrated	RHCP	SO81	England	PA_4_RCHP_09_D_calibrated	2.2385255532807546	0.8058174139925646
PA_4_RCHP_11_D_calibrated	RHCP	SO81	England	PA_4_RCHP_11_D_calibrated	2.0967457067422797	0.7403864793029796
PA_4_RCHP_12_D_calibrated	RHCP	SO81	England	PA_4_RCHP_12_D_calibrated	2.1229795694507456	0.7528205592413446
PA_4_RCHP_13_D_calibrated	RHCP	SO81	England	PA_4_RCHP_13_D_calibrated	2.2856337033794767	0.8266433177915249
PA_4_RCHP_14_D_calibrated	RHCP	SO81	England	PA_4_RCHP_14_D_calibrated	2.2450079625900905	0.8087090679986584
PA_4_RCHP_15_D_calibrated	RHCP	SO81	England	PA_4_RCHP_15_D_calibrated	2.272223654998217	0.820758935713955
PA_4_RCHP_16_D_calibrated	RHCP	SO81	England	PA_4_RCHP_16_D_calibrated	2.167249212218735	0.7734587192730572
PA_4_RCHP_17_D_calibrated	RHCP	SO81	England	PA_4_RCHP_17_D_calibrated	2.3376084661941845	0.8491283837540539
PA_4_RCHP_18_D_calibrated	RHCP	SO81	England	PA_4_RCHP_18_D_calibrated	2.1542279486039457	0.7674323988564734
PA_4_RCHP_19_D_calibrated	RHCP	SO81	England	PA_4_RCHP_19_D_calibrated	2.2220728556661604	0.7984404790085178
PA_4_RCHP_20_D_calibrated	RHCP	SO81	England	PA_4_RCHP_20_D_calibrated	2.097502350475788	0.7407472799668384
PA_5_Ferm_01_D_calibrated	Ferm	SP98	England	PA_5_Ferm_01_D_calibrated	2.128312483486303	0.7553294044424743
PA_5_Ferm_02_D_calibrated	Ferm	SP98	England	PA_5_Ferm_02_D_calibrated	2.279520227376406	0.8239649942342727
PA_5_Ferm_03_D_calibrated	Ferm	SP98	England	PA_5_Ferm_03_D_calibrated	2.241856704183144	0.8073044083268747
PA_5_Ferm_04_D_calibrated	Ferm	SP98	England	PA_5_Ferm_04_D_calibrated	2.1986751402275293	0.7878549699761201
PA_5_Ferm_05_D_calibrated	Ferm	SP98	England	PA_5_Ferm_05_D_calibrated	2.2118581056659132	0.7938329340735754
PA_5_Ferm_06_D_calibrated	Ferm	SP98	England	PA_5_Ferm_06_D_calibrated	2.265582985964299	0.8178321147628556
PA_5_Ferm_07_D_calibrated	Ferm	SP98	England	PA_5_Ferm_07_D_calibrated	2.054442597751163	0.7200045691852045
PA_5_Ferm_08_D_calibrated	Ferm	SP98	England	PA_5_Ferm_08_D_calibrated	2.104591208969744	0.7441212482607068
PA_5_Ferm_09_D_calibrated	Ferm	SP98	England	PA_5_Ferm_09_D_calibrated	2.291021358310822	0.8289977261301381
PA_5_Ferm_10_D_calibrated	Ferm	SP98	England	PA_5_Ferm_10_D_calibrated	2.301290362660203	0.8334699928617232
PA_5_Ferm_11_D_calibrated	Ferm	SP98	England	PA_5_Ferm_11_D_calibrated	2.205139021434827	0.7907905551811136
PA_5_Ferm_12_D_calibrated	Ferm	SP98	England	PA_5_Ferm_12_D_calibrated	2.2211959915938815	0.7980457857708115
PA_5_Ferm_13_D_calibrated	Ferm	SP98	England	PA_5_Ferm_13_D_calibrated	2.2002836359846474	0.7885862775016659
PA_5_Ferm_14_D_calibrated	Ferm	SP98	England	PA_5_Ferm_14_D_calibrated	2.2621315958144033	0.8163075527543369
PA_5_Ferm_15_D_calibrated	Ferm	SP98	England	PA_5_Ferm_15_D_calibrated	2.1739108287307296	0.776527770714613
PA_5_Ferm_16_D_calibrated	Ferm	SP98	England	PA_5_Ferm_16_D_calibrated	2.1886006734607224	0.7832623777151814
PA_5_Ferm_17_D_calibrated	Ferm	SP98	England	PA_5_Ferm_17_D_calibrated	2.1941423185878763	0.7857912269269552
PA_5_Ferm_18_D_calibrated	Ferm	SP98	England	PA_5_Ferm_18_D_calibrated	2.147454155120769	0.7642830266254762
PA_5_Ferm_19_D_calibrated	Ferm	SP98	England	PA_5_Ferm_19_D_calibrated	2.1669751930157055	0.7733322748725026
PA_5_Ferm_20_D_calibrated	Ferm	SP98	England	PA_5_Ferm_20_D_calibrated	2.2454355982424765	0.8088995327702942
PA_6_Fox_01_D_calibrated	Fox	TG02	England	PA_6_Fox_01_D_calibrated	2.1536361930015437	0.7671576661412939
PA_6_Fox_02_D_calibrated	Fox	TG02	England	PA_6_Fox_02_D_calibrated	2.2493676169602144	0.8106491175830159
PA_6_Fox_03_D_calibrated	Fox	TG02	England	PA_6_Fox_03_D_calibrated	2.1798569546132653	0.77925925749822
