Id	Site	Grid.10km	Expansion	ID	RegScore1
PA_1_WW_01_D_calibrated	WW	SX69	England	PA_1_WW_01_D_calibrated	-0.024176066235362184
PA_1_WW_02_D_calibrated	WW	SX69	England	PA_1_WW_02_D_calibrated	-0.004769157074136354
PA_1_WW_03_D_calibrated	WW	SX69	England	PA_1_WW_03_D_calibrated	-0.03242746816567586
PA_1_WW_04_D_calibrated	WW	SX69	England	PA_1_WW_04_D_calibrated	-0.01483277141945196
PA_1_WW_05_D_calibrated	WW	SX69	England	PA_1_WW_05_D_calibrated	-0.02025012152695814
PA_1_WW_06_D_calibrated	WW	SX69	England	PA_1_WW_06_D_calibrated	-0.021941121571860105
PA_1_WW_07_D_calibrated	WW	SX69	England	PA_1_WW_07_D_calibrated	-0.027650458989057644
PA_1_WW_08_D_calibrated	WW	SX69	England	PA_1_WW_08_D_calibrated	-0.013229148549571162
PA_1_WW_09_D_calibrated	WW	SX69	England	PA_1_WW_09_D_calibrated	-0.01652283053643667
PA_1_WW_10_D_calibrated	WW	SX69	England	PA_1_WW_10_D_calibrated	-0.03350704852639384
PA_1_WW_11_D_calibrated	WW	SX69	England	PA_1_WW_11_D_calibrated	-0.01490662174554814
PA_1_WW_12_D_calibrated	WW	SX69	England	PA_1_WW_12_D_calibrated	-0.0194370218333301
PA_1_WW_13_D_calibrated	WW	SX69	England	PA_1_WW_13_D_calibrated	-0.025437400924593557
PA_1_WW_14_D_calibrated	WW	SX69	England	PA_1_WW_14_D_calibrated	-0.0037698584188677426
PA_1_WW_16_D_calibrated	WW	SX69	England	PA_1_WW_16_D_calibrated	-0.026550567473365795
PA_1_WW_18_D_calibrated	WW	SX69	England	PA_1_WW_18_D_calibrated	-0.03054411067286294
PA_1_WW_19_D_calibrated	WW	SX69	England	PA_1_WW_19_D_calibrated	-0.02394317750054651
PA_1_WW_20_D_calibrated	WW	SX69	England	PA_1_WW_20_D_calibrated	-0.02437414227545275
PA_3_MH_01_D_calibrated	MH	TL11	England	PA_3_MH_01_D_calibrated	1.1472766633256878E-4
PA_3_MH_02_D_calibrated	MH	TL11	England	PA_3_MH_02_D_calibrated	-0.01013754994901719
PA_3_MH_03_D_calibrated	MH	TL11	England	PA_3_MH_03_D_calibrated	-0.007965659680879035
PA_3_MH_04_D_calibrated	MH	TL11	England	PA_3_MH_04_D_calibrated	-0.008103163465350057
PA_3_MH_05_D_calibrated	MH	TL11	England	PA_3_MH_05_D_calibrated	9.781543149747997E-4
PA_3_MH_06_D_calibrated	MH	TL11	England	PA_3_MH_06_D_calibrated	-0.03355157336467139
PA_3_MH_08_D_calibrated	MH	TL11	England	PA_3_MH_08_D_calibrated	-0.026456278639588965
PA_3_MH_09_D_calibrated	MH	TL11	England	PA_3_MH_09_D_calibrated	-0.025036472742027232
PA_3_MH_11_D_calibrated	MH	TL11	England	PA_3_MH_11_D_calibrated	-0.02822733608017188
PA_3_MH_12_D_calibrated	MH	TL11	England	PA_3_MH_12_D_calibrated	-0.01116772337528242
PA_3_MH_13_D_calibrated	MH	TL11	England	PA_3_MH_13_D_calibrated	0.026360822863677087
PA_3_MH_14_D_calibrated	MH	TL11	England	PA_3_MH_14_D_calibrated	0.009768390203271415
PA_3_MH_16_D_calibrated	MH	TL11	England	PA_3_MH_16_D_calibrated	-0.023208264095393213
PA_3_MH_17_D_calibrated	MH	TL11	England	PA_3_MH_17_D_calibrated	-0.019010622994723704
PA_3_MH_18_D_calibrated	MH	TL11	England	PA_3_MH_18_D_calibrated	0.030245042279688092
PA_4_RCHP_01_D_calibrated	RHCP	SO81	England	PA_4_RCHP_01_D_calibrated	-0.022752309766320193
PA_4_RCHP_02_D_calibrated	RHCP	SO81	England	PA_4_RCHP_02_D_calibrated	-0.00944977413415114
PA_4_RCHP_03_D_calibrated	RHCP	SO81	England	PA_4_RCHP_03_D_calibrated	-0.0149057595408833
PA_4_RCHP_04_D_calibrated	RHCP	SO81	England	PA_4_RCHP_04_D_calibrated	-0.023344184900264842
PA_4_RCHP_05_D_calibrated	RHCP	SO81	England	PA_4_RCHP_05_D_calibrated	-0.03644592343947377
PA_4_RCHP_06_D_calibrated	RHCP	SO81	England	PA_4_RCHP_06_D_calibrated	-0.03402460437473836
PA_4_RCHP_08_D_calibrated	RHCP	SO81	England	PA_4_RCHP_08_D_calibrated	-0.015091007422388617
PA_4_RCHP_09_D_calibrated	RHCP	SO81	England	PA_4_RCHP_09_D_calibrated	-0.015949569705875515
PA_4_RCHP_11_D_calibrated	RHCP	SO81	England	PA_4_RCHP_11_D_calibrated	-0.021223788815844302
PA_4_RCHP_12_D_calibrated	RHCP	SO81	England	PA_4_RCHP_12_D_calibrated	0.0066422036462433455
